,HipID1,HipID2,HipID3,theta1,theta2,phi
0,3,19,117844,0.009712452669086597,0.02147700068112509,1.9981089265347374
1,19,3,117844,0.009712452669086597,0.02699090811906351,0.8098332905859906
2,25,118256,765,0.036025713227435564,0.037848069940457064,2.4242645650780714
3,34,171,399,0.007442451253625731,0.01827705046965865,0.6580013432537827
4,43,118116,181,0.010378212158226712,0.020327878151432048,0.8583611465888541
5,50,118234,730,0.007507046716604727,0.02703433532715945,2.8247807643858023
6,63,119,424,0.01040933743774274,0.01363531665872782,1.2954177654919035
7,73,302,379,0.005645403295705422,0.008554068935260258,1.141967441136612
8,88,522,107,0.015699102254794574,0.02667063403377024,1.2358053317653224
9,106,118162,297,0.012089436141843143,0.027797647614958336,2.562944467100884
10,107,522,88,0.02612431109381559,0.02667063403377024,0.6035204606990542
11,119,63,424,0.01040933743774274,0.014733972450877434,1.0985897809091205
12,121,502,410,0.017176637252814937,0.018591356159706127,0.6310665360052609
13,122,1706,829,0.020156858954959743,0.022974857136874322,0.8754268589206106
14,124,418,181,0.007481282428805495,0.009181952987259202,1.6333593641804902
15,128,117893,116728,0.01617124238364072,0.027969708608053576,0.7596254441335776
16,133,117880,441,0.02364969917319447,0.0256528590731559,2.195319360171542
17,136,496,118131,0.017690059974873676,0.022050398064466625,2.0373795991588763
18,137,254,365,0.008039963610220387,0.010464071274628088,1.4465592765737707
19,145,159,118209,0.004659857414860116,0.016533838307030868,2.369298842318926
20,154,118298,443,0.010129627101729153,0.015596906998904743,2.5829424142697524
21,159,145,118209,0.004659857414860116,0.02013616499596802,0.6101026479596675
22,171,34,399,0.007442451253625731,0.013197920977917204,2.131508167622643
23,179,117978,873,0.02801690827157784,0.0386699471575702,2.605580413912109
24,181,124,118090,0.009181952987259202,0.011968756247927212,0.9150789590584293
25,183,345,118277,0.010963247080366736,0.011625743544422341,1.9834541720938998
26,186,194,117962,0.008234761351531835,0.03190821819409035,1.2090004309960083
27,194,186,117962,0.008234761351531835,0.029998785318996794,1.6729430928470732
28,207,302,73,0.010926562293513733,0.013411185382185605,0.4218881435751725
29,238,118081,932,0.02736732582848094,0.0435812282646269,3.053695525158246
30,253,560,118029,0.023392312490230677,0.028295591377908474,2.6385082891250966
31,254,137,365,0.008039963610220387,0.012380952542984382,0.9948225295472595
32,258,729,117888,0.02676077823870155,0.04069135857623765,2.14896271020537
33,274,531,695,0.01128994492524075,0.012565695576014608,1.6804050573358171
34,277,950,881,0.03527689609321319,0.035614651005435545,0.1649080840185795
35,297,117979,967,0.023237324680783246,0.024560381695090953,2.8002146122784053
36,301,343,602,0.014299739757451708,0.014873336780258442,1.4596137560387494
37,302,73,379,0.005645403295705422,0.008055007916451858,1.3085098555228818
38,330,418,695,0.017089623774710152,0.018174075582614375,2.547408350990242
39,343,301,602,0.014299739757451708,0.019455271755775827,0.862964647478206
40,345,183,118277,0.010963247080366736,0.018910017618526592,0.598242666189778
41,355,671,117917,0.03363287254437327,0.04449582625928894,1.657520304089277
42,365,137,254,0.010464071274628088,0.012380952542984382,0.7002108474687628
43,377,865,117105,0.0321766993441735,0.033229064636803925,2.283238305321236
44,379,302,73,0.008055007916451858,0.008554068935260258,0.6911153569302994
45,394,432,118177,0.01595304326838934,0.02420193557361246,1.3782855079657577
46,398,518,746,0.0034868892736259482,0.014439503003394425,1.3472935073315213
47,399,171,410,0.013197920977917204,0.017910250818816708,0.9727381294208098
48,410,502,171,0.011180729863760057,0.015125505245851168,2.6642911631870825
49,417,118307,664,0.023399818959477427,0.036599078736648825,2.1204892474344756
50,418,124,181,0.007481282428805495,0.012201165639976487,0.8496917222597706
51,424,63,119,0.01363531665872782,0.014733972450877434,0.7475851071887688
52,432,394,699,0.01595304326838934,0.02211987812288847,2.634504535429107
53,441,567,133,0.005299602719783373,0.0256528590731559,1.9939368541440043
54,443,154,840,0.015596906998904743,0.023061262768234114,3.1219354048291805
55,448,118054,1107,0.04214746023666262,0.053408063161078864,2.809289416294504
56,458,671,154,0.023610834380356303,0.03258809073776344,3.0798688191542487
57,472,118243,118077,0.016364023063043874,0.020945528845323164,0.048212077615424904
58,476,118318,813,0.039030737699744855,0.04341348612443379,1.13617245092521
59,496,136,716,0.017690059974873676,0.019413829713507684,2.5185161976807637
60,502,540,410,0.005319610266722117,0.011180729863760057,3.0565802470759253
61,508,626,525,0.007021963118972887,0.0084264895026393,2.2022224724471626
62,518,398,746,0.0034868892736259482,0.014083257393672752,1.5504551748984796
63,522,88,1101,0.015699102254794574,0.022414229282916052,2.553525979442597
64,525,508,737,0.0084264895026393,0.009039305722659392,1.5719979148428211
65,531,274,695,0.01128994492524075,0.01778767482767373,0.7784721822000723
66,540,502,544,0.005319610266722117,0.00817707897326075,2.7141404199417605
67,544,677,540,0.006884691200092275,0.00817707897326075,1.7559049179996884
68,560,636,253,0.01112621129267857,0.023392312490230677,2.8093753216982673
69,567,441,133,0.005299602719783373,0.028245669527362814,0.9757270540542724
70,602,696,301,0.006191273695870724,0.014873336780258442,2.6296941663152924
71,619,858,1208,0.02773763899845633,0.028076647335239718,1.245267288984964
72,626,508,714,0.007021963118972887,0.007249136556031952,1.4131157493008255
73,631,118322,117815,0.015233882910535994,0.024931854731765565,0.44206683032195165
74,635,664,803,0.0026914380106642533,0.009514034588176892,0.7372034436705229
75,636,560,1046,0.01112621129267857,0.021314072250318474,1.9463132175472095
76,655,881,950,0.025228057145111237,0.030966019969321787,0.04051559809243703
77,664,635,803,0.0026914380106642533,0.007735951258611703,2.168328276439639
